dataset_id,method,family,metric,decision_agreement,pass_fraction,n_seeds,n_seed_pairs,n_definition
paul15,GLM-PCA,factor,label_neighbor_recall,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,GLM-PCA,factor,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,GLM-PCA,factor,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PCA,factor,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PCA,factor,label_neighbor_recall,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PCA,factor,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PCA,factor,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PHATE,graph,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PHATE,graph,label_neighbor_recall,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PHATE,graph,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PHATE,graph,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PaCMAP,relational,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PaCMAP,relational,label_neighbor_recall,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PaCMAP,relational,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,PaCMAP,relational,trustworthiness,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,SAUCIE,deep,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,SAUCIE,deep,label_neighbor_recall,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,SAUCIE,deep,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,SAUCIE,deep,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,UMAP,graph,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,UMAP,graph,label_neighbor_recall,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,UMAP,graph,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,UMAP,graph,trustworthiness,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,scScope,deep,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,scScope,deep,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,scScope,deep,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,scScope,deep,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,t-SNE,relational,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,t-SNE,relational,label_neighbor_recall,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,t-SNE,relational,local_retention,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
paul15,t-SNE,relational,trustworthiness,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,GLM-PCA,factor,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,GLM-PCA,factor,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,GLM-PCA,factor,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,GLM-PCA,factor,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PCA,factor,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PCA,factor,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PCA,factor,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PCA,factor,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PHATE,graph,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PHATE,graph,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PHATE,graph,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PHATE,graph,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PaCMAP,relational,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PaCMAP,relational,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PaCMAP,relational,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,PaCMAP,relational,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,SAUCIE,deep,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,SAUCIE,deep,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,SAUCIE,deep,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,SAUCIE,deep,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,UMAP,graph,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,UMAP,graph,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,UMAP,graph,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,UMAP,graph,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,scScope,deep,global_rank_corr,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,scScope,deep,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,scScope,deep,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,scScope,deep,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,t-SNE,relational,global_rank_corr,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,t-SNE,relational,label_neighbor_recall,1,1,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,t-SNE,relational,local_retention,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
pbmc3k,t-SNE,relational,trustworthiness,1,0,5,10,ten pairwise comparisons among five computational random-seed runs
