dataset_id,method,family,claim_gate,boundary_shift,gate_pass,component_count,limiting_margin,components,n_definition,baseline_pass,unchanged_from_baseline,decision_change
paul15,PCA,factor,continuum_gate,-0.05,False,2,-0.04725717684,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,GLM-PCA,factor,continuum_gate,-0.05,False,2,-0.004317318923,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,scScope,deep,continuum_gate,-0.05,False,2,-0.1910982037,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,SAUCIE,deep,continuum_gate,-0.05,False,2,-0.1552322406,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,UMAP,graph,continuum_gate,-0.05,False,2,-0.1366502033,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,PHATE,graph,continuum_gate,-0.05,False,2,-0.1053694925,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,t-SNE,relational,continuum_gate,-0.05,False,2,-0.1715612168,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
paul15,PaCMAP,relational,continuum_gate,-0.05,False,2,-0.07821807487,pseudotime_rank_corr;pseudotime_neighborhood_retention,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,PCA,factor,donor_aware_gate,-0.05,True,2,0.1866284698,cell_type_label_recall;donor_entropy_norm,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,GLM-PCA,factor,donor_aware_gate,-0.05,True,2,0.1603682279,cell_type_label_recall;donor_entropy_norm,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,scScope,deep,donor_aware_gate,-0.05,True,2,0.05080131744,cell_type_label_recall;donor_entropy_norm,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,SAUCIE,deep,donor_aware_gate,-0.05,True,2,0.1607422126,cell_type_label_recall;donor_entropy_norm,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,UMAP,graph,donor_aware_gate,-0.05,True,2,0.04417230551,cell_type_label_recall;donor_entropy_norm,one applicable method-dataset-claim gate decision,False,False,gained_support
heart_cell_atlas_subsampled,PHATE,graph,donor_aware_gate,-0.05,True,2,0.0757897517,cell_type_label_recall;donor_entropy_norm,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,t-SNE,relational,donor_aware_gate,-0.05,False,2,-2.674128104e-05,cell_type_label_recall;donor_entropy_norm,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,PaCMAP,relational,donor_aware_gate,-0.05,True,2,0.04189169186,cell_type_label_recall;donor_entropy_norm,one applicable method-dataset-claim gate decision,False,False,gained_support
pbmc3k,PCA,factor,local_neighbourhood_gate,-0.025,False,2,-0.2199077584,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,PCA,factor,label_support_gate,-0.025,True,1,0.268631539,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,GLM-PCA,factor,local_neighbourhood_gate,-0.025,False,2,-0.2314569118,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,GLM-PCA,factor,label_support_gate,-0.025,True,1,0.3383055345,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,scScope,deep,local_neighbourhood_gate,-0.025,False,2,-0.2387098812,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,scScope,deep,label_support_gate,-0.025,True,1,0.1911991408,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,SAUCIE,deep,local_neighbourhood_gate,-0.025,False,2,-0.2000442254,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,SAUCIE,deep,label_support_gate,-0.025,True,1,0.3856899166,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,UMAP,graph,local_neighbourhood_gate,-0.025,False,2,-0.1566527672,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,UMAP,graph,label_support_gate,-0.025,True,1,0.3968347233,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,PHATE,graph,local_neighbourhood_gate,-0.025,False,2,-0.1849570382,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,PHATE,graph,label_support_gate,-0.025,True,1,0.4024703058,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,t-SNE,relational,local_neighbourhood_gate,-0.025,False,2,-0.05887667425,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,t-SNE,relational,label_support_gate,-0.025,True,1,0.3895564822,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,PaCMAP,relational,local_neighbourhood_gate,-0.025,False,2,-0.161353298,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
