scenario,replicate,method,family,seed,n_metrics,fraction_pass,mean_threshold_margin,minimum_threshold_margin,n_definition
branching_trajectory,4,PCA,factor,3004,5,0.4,0.03497767486,-0.184537037,one method-scenario-generated-dataset run
branching_trajectory,4,PHATE,graph,3004,5,0.4,0.05147332734,-0.1872222222,one method-scenario-generated-dataset run
branching_trajectory,4,PaCMAP,relational,3004,5,0.6,0.09177190327,-0.1762962963,one method-scenario-generated-dataset run
branching_trajectory,4,SAUCIE,deep,3004,5,0.6,0.1106186406,-0.1839814815,one method-scenario-generated-dataset run
branching_trajectory,4,UMAP,graph,3004,5,0.6,0.06196927147,-0.2017592593,one method-scenario-generated-dataset run
branching_trajectory,4,scScope,deep,3004,5,0.4,-0.04587544775,-0.2232591293,one method-scenario-generated-dataset run
branching_trajectory,4,t-SNE,relational,3004,5,0.4,-0.00242260731,-0.2,one method-scenario-generated-dataset run
dropout_stress,0,GLM-PCA,factor,4000,4,0.75,0.1981350232,-0.1383333333,one method-scenario-generated-dataset run
dropout_stress,0,PCA,factor,4000,4,0.75,0.1860880331,-0.1518518519,one method-scenario-generated-dataset run
dropout_stress,0,PHATE,graph,4000,4,0.5,0.1560992674,-0.2083333333,one method-scenario-generated-dataset run
dropout_stress,0,PaCMAP,relational,4000,4,0.5,0.1365002248,-0.2289814815,one method-scenario-generated-dataset run
dropout_stress,0,SAUCIE,deep,4000,4,0.5,0.1535990648,-0.1698148148,one method-scenario-generated-dataset run
dropout_stress,0,UMAP,graph,4000,4,0.5,0.1367982461,-0.2362962963,one method-scenario-generated-dataset run
dropout_stress,0,scScope,deep,4000,4,0.5,0.1364228877,-0.2193518519,one method-scenario-generated-dataset run
dropout_stress,0,t-SNE,relational,4000,4,0.5,0.1374329443,-0.2262962963,one method-scenario-generated-dataset run
dropout_stress,1,GLM-PCA,factor,4001,4,0.75,0.2051990011,-0.1286111111,one method-scenario-generated-dataset run
dropout_stress,1,PCA,factor,4001,4,0.75,0.1853962248,-0.1605555556,one method-scenario-generated-dataset run
dropout_stress,1,PHATE,graph,4001,4,0.5,0.1596739385,-0.2037037037,one method-scenario-generated-dataset run
dropout_stress,1,PaCMAP,relational,4001,4,0.5,0.1353025734,-0.2280555556,one method-scenario-generated-dataset run
dropout_stress,1,SAUCIE,deep,4001,4,0.75,0.1852449602,-0.1530555556,one method-scenario-generated-dataset run
dropout_stress,1,UMAP,graph,4001,4,0.5,0.1326833056,-0.2261111111,one method-scenario-generated-dataset run
dropout_stress,1,scScope,deep,4001,4,0.5,0.1407902156,-0.2137037037,one method-scenario-generated-dataset run
dropout_stress,1,t-SNE,relational,4001,4,0.5,0.1349644549,-0.2261111111,one method-scenario-generated-dataset run
dropout_stress,2,GLM-PCA,factor,4002,4,0.75,0.1947317516,-0.1408333333,one method-scenario-generated-dataset run
dropout_stress,2,PCA,factor,4002,4,0.75,0.1779314728,-0.1672222222,one method-scenario-generated-dataset run
dropout_stress,2,PHATE,graph,4002,4,0.5,0.1496221235,-0.2112962963,one method-scenario-generated-dataset run
dropout_stress,2,PaCMAP,relational,4002,4,0.5,0.1343771662,-0.2323148148,one method-scenario-generated-dataset run
dropout_stress,2,SAUCIE,deep,4002,4,0.5,0.1770436026,-0.1786111111,one method-scenario-generated-dataset run
dropout_stress,2,UMAP,graph,4002,4,0.5,0.1350554419,-0.227962963,one method-scenario-generated-dataset run
dropout_stress,2,scScope,deep,4002,4,0.5,0.1455668203,-0.2058333333,one method-scenario-generated-dataset run
dropout_stress,2,t-SNE,relational,4002,4,0.5,0.1307055411,-0.2261111111,one method-scenario-generated-dataset run
dropout_stress,3,GLM-PCA,factor,4003,4,0.75,0.1929848885,-0.1539814815,one method-scenario-generated-dataset run
dropout_stress,3,PCA,factor,4003,4,0.5,0.1790839949,-0.1742592593,one method-scenario-generated-dataset run
dropout_stress,3,PHATE,graph,4003,4,0.5,0.1562486592,-0.2103703704,one method-scenario-generated-dataset run
dropout_stress,3,PaCMAP,relational,4003,4,0.5,0.1365966703,-0.2278703704,one method-scenario-generated-dataset run
dropout_stress,3,SAUCIE,deep,4003,4,0.5,0.1314071129,-0.185462963,one method-scenario-generated-dataset run
dropout_stress,3,UMAP,graph,4003,4,0.5,0.1287632962,-0.2334259259,one method-scenario-generated-dataset run
dropout_stress,3,scScope,deep,4003,4,0.5,0.1373098273,-0.2176851852,one method-scenario-generated-dataset run
dropout_stress,3,t-SNE,relational,4003,4,0.5,0.1283188853,-0.2323148148,one method-scenario-generated-dataset run
dropout_stress,4,GLM-PCA,factor,4004,4,0.75,0.1860822878,-0.1655555556,one method-scenario-generated-dataset run
dropout_stress,4,PCA,factor,4004,4,0.5,0.1724318687,-0.1826851852,one method-scenario-generated-dataset run
dropout_stress,4,PHATE,graph,4004,4,0.5,0.1519011821,-0.2153703704,one method-scenario-generated-dataset run
dropout_stress,4,PaCMAP,relational,4004,4,0.5,0.133108703,-0.2313888889,one method-scenario-generated-dataset run
dropout_stress,4,SAUCIE,deep,4004,4,0.5,0.166677733,-0.1888888889,one method-scenario-generated-dataset run
dropout_stress,4,UMAP,graph,4004,4,0.5,0.1237757868,-0.2282407407,one method-scenario-generated-dataset run
dropout_stress,4,scScope,deep,4004,4,0.5,0.1261756696,-0.2230555556,one method-scenario-generated-dataset run
dropout_stress,4,t-SNE,relational,4004,4,0.5,0.1303544302,-0.225462963,one method-scenario-generated-dataset run
linear_low_rank,0,GLM-PCA,factor,1000,4,0.75,0.2025607567,-0.1359259259,one method-scenario-generated-dataset run
linear_low_rank,0,PCA,factor,1000,4,0.75,0.1900229343,-0.1592592593,one method-scenario-generated-dataset run
linear_low_rank,0,PHATE,graph,1000,4,0.5,0.1547916855,-0.2153703704,one method-scenario-generated-dataset run
linear_low_rank,0,PaCMAP,relational,1000,4,0.5,0.1392777345,-0.2315740741,one method-scenario-generated-dataset run
linear_low_rank,0,SAUCIE,deep,1000,4,0.75,0.1882325076,-0.1610185185,one method-scenario-generated-dataset run
