dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition,threshold,relative_threshold_margin,dataset_label,metric_label,column_label,value_definition
heart_cell_atlas_subsampled,scScope,deep,0,local_retention,0.09831666667,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.6722777778,Heart atlas,Local,Heart atlas | Local,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,scScope,deep,0,trustworthiness,0.9011066765,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,0.001229640541,Heart atlas,Trust,Heart atlas | Trust,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,scScope,deep,0,global_rank_corr,0.3283718726,,8000,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,-0.2702847275,Heart atlas,Global,Heart atlas | Global,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,scScope,deep,0,label_neighbor_recall,0.8542833333,15,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.5532424242,Heart atlas,Same-label,Heart atlas | Same-label,run-level continuous diagnostic value; no binary aggregation
pbmc3k,SAUCIE,deep,0,local_retention,0.07495577458,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.7501474181,PBMC3k,Local,PBMC3k | Local,run-level continuous diagnostic value; no binary aggregation
pbmc3k,SAUCIE,deep,0,trustworthiness,0.8415744686,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.06491725716,PBMC3k,Trust,PBMC3k | Trust,run-level continuous diagnostic value; no binary aggregation
pbmc3k,SAUCIE,deep,0,global_rank_corr,0.6397636671,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.421697038,PBMC3k,Global,PBMC3k | Global,run-level continuous diagnostic value; no binary aggregation
pbmc3k,SAUCIE,deep,0,label_neighbor_recall,0.9106899166,15,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.6557998484,PBMC3k,Same-label,PBMC3k | Same-label,run-level continuous diagnostic value; no binary aggregation
paul15,SAUCIE,deep,0,local_retention,0.1043956044,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.652014652,Paul15,Local,Paul15 | Local,run-level continuous diagnostic value; no binary aggregation
paul15,SAUCIE,deep,0,trustworthiness,0.8692665558,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.03414827134,Paul15,Trust,Paul15 | Trust,run-level continuous diagnostic value; no binary aggregation
paul15,SAUCIE,deep,0,global_rank_corr,0.5713198126,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.2695995836,Paul15,Global,Paul15 | Global,run-level continuous diagnostic value; no binary aggregation
paul15,SAUCIE,deep,0,label_neighbor_recall,0.5040537241,15,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,-0.08353868354,Paul15,Same-label,Paul15 | Same-label,run-level continuous diagnostic value; no binary aggregation
