scenario,method,family,metric,claim_axis,decision_agreement,n_replicate_pairs,value_mean,value_sd,value_minimum,value_maximum,value_range,pass_fraction,n_generated_datasets,n_definition
branching_trajectory,SAUCIE,deep,label_neighbor_recall,cell_state_support,1,10,0.781462963,0.04941614706,0.7064814815,0.8286111111,0.1221296296,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,SAUCIE,deep,pseudotime_distance_corr,continuum_support,0.6,10,0.5419352112,0.1462945853,0.2881460272,0.6505731375,0.3624271103,0.8,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,UMAP,graph,truth_local_retention,truth_geometry,1,10,0.1065740741,0.004880692484,0.09824074074,0.110462963,0.01222222222,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,UMAP,graph,truth_trustworthiness,truth_geometry,1,10,0.8266099952,0.01167138295,0.8110614273,0.8427473564,0.03168592911,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,UMAP,graph,latent_distance_corr,truth_geometry,1,10,0.6182322198,0.05595451564,0.5453543527,0.6916624647,0.146308112,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,UMAP,graph,label_neighbor_recall,cell_state_support,1,10,0.7888888889,0.02531378862,0.7698148148,0.8324074074,0.06259259259,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,UMAP,graph,pseudotime_distance_corr,continuum_support,1,10,0.5076089957,0.01639877876,0.4917370446,0.5318930448,0.04015600018,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PHATE,graph,truth_local_retention,truth_geometry,1,10,0.1147222222,0.005560183258,0.1100925926,0.1233333333,0.01324074074,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PHATE,graph,truth_trustworthiness,truth_geometry,1,10,0.8375027632,0.006436931076,0.8282999894,0.8459295127,0.01762952335,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PHATE,graph,latent_distance_corr,truth_geometry,1,10,0.7418727218,0.03142802608,0.6948159428,0.7739774687,0.07916152589,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PHATE,graph,label_neighbor_recall,cell_state_support,1,10,0.7751111111,0.02359234912,0.7478703704,0.8025925926,0.05472222222,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PHATE,graph,pseudotime_distance_corr,continuum_support,0.6,10,0.4541902699,0.07767763083,0.3815337293,0.5868265246,0.2052927952,0.2,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,t-SNE,relational,truth_local_retention,truth_geometry,1,10,0.09418518519,0.00423776784,0.08953703704,0.1,0.01046296296,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,t-SNE,relational,truth_trustworthiness,truth_geometry,1,10,0.7937031458,0.01532449922,0.7800082364,0.8170984112,0.03709017482,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,t-SNE,relational,latent_distance_corr,truth_geometry,0.6,10,0.4515057011,0.04874353038,0.3768683976,0.5137387851,0.1368703875,0.8,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,t-SNE,relational,label_neighbor_recall,cell_state_support,1,10,0.7398148148,0.02392421304,0.7237962963,0.7815740741,0.05777777778,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,t-SNE,relational,pseudotime_distance_corr,continuum_support,0.6,10,0.3545470603,0.1438551208,0.1199487477,0.4933208373,0.3733720896,0.2,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PaCMAP,relational,truth_local_retention,truth_geometry,1,10,0.1145555556,0.006741923482,0.1085185185,0.1237037037,0.01518518519,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PaCMAP,relational,truth_trustworthiness,truth_geometry,1,10,0.8449641586,0.01388251505,0.8311322334,0.8655956746,0.0344634412,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PaCMAP,relational,latent_distance_corr,truth_geometry,1,10,0.6976297842,0.05469325461,0.6290676517,0.7690171357,0.139949484,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PaCMAP,relational,label_neighbor_recall,cell_state_support,1,10,0.8265555556,0.03606403627,0.7908333333,0.8859259259,0.09509259259,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PaCMAP,relational,pseudotime_distance_corr,continuum_support,1,10,0.5306657375,0.0504072276,0.4646170764,0.5974337832,0.1328167068,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,PCA,factor,truth_local_retention,truth_geometry,1,10,0.1326851852,0.01192972104,0.1173148148,0.1481481481,0.03083333333,0,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,PCA,factor,truth_trustworthiness,truth_geometry,0.4,10,0.89917392,0.005011512229,0.890884877,0.9033713269,0.01248644986,0.6,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,PCA,factor,latent_distance_corr,truth_geometry,1,10,0.8954232073,0.009887279622,0.882703892,0.9073802391,0.02467634715,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.993462963,0.00143533452,0.9913888889,0.9951851852,0.003796296296,1,5,five independently generated datasets and ten generated-dataset pairs
dropout_stress,GLM-PCA,factor,truth_local_retention,truth_geometry,1,10,0.154537037,0.01442677576,0.1344444444,0.1713888889,0.03694444444,0,5,five independently generated datasets and ten generated-dataset pairs
