method,family,scenario,scenario_label,metric,metric_label,column_label,claim_axis,threshold,value,value_sd_across_generated_datasets,value_minimum,value_maximum,relative_threshold_margin,relative_margin_minimum,relative_margin_maximum,n_generated_datasets,n_cells_per_generated_dataset,value_definition
GLM-PCA,factor,batch_shift,Batch,batch_entropy_norm,Batch mix,Batch | Batch mix,batch_biology_tradeoff,0.65,0.6854096552,0.142074651,0.5167354763,0.8820109332,0.05447639268,-0.2050223442,0.3569398973,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,nonlinear_manifold,Nonlinear,latent_distance_corr,Geometry,Nonlinear | Geometry,truth_geometry,0.45,0.7301953912,0.01132713587,0.7186448855,0.7466569847,0.6226564249,0.5969886344,0.6592377438,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,nonlinear_manifold,Nonlinear,pseudotime_distance_corr,Pseudotime,Nonlinear | Pseudotime,continuum_support,0.45,0.6291117738,0.0271477305,0.5956714951,0.6606042852,0.398026164,0.3237144335,0.4680095228,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,nonlinear_manifold,Nonlinear,truth_local_retention,Local,Nonlinear | Local,truth_geometry,0.3,0.134,0.01010307814,0.1161111111,0.14,-0.5533333333,-0.612962963,-0.5333333333,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,nonlinear_manifold,Nonlinear,truth_trustworthiness,Trust,Nonlinear | Trust,truth_geometry,0.9,0.8809461714,0.006547911558,0.873468569,0.8911343589,-0.02117092064,-0.02947936778,-0.009850712342,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,rare_population,Rare,label_neighbor_recall,Same-label,Rare | Same-label,cell_state_support,0.55,0.9933333333,0.002401167126,0.9899074074,0.9957407407,0.8060606061,0.7998316498,0.8104377104,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,rare_population,Rare,latent_distance_corr,Geometry,Rare | Geometry,truth_geometry,0.45,0.9115071261,0.01309465804,0.8950853296,0.9278348131,1.025571391,0.9890785103,1.06185514,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,rare_population,Rare,rare_label_recall,Rare-state,Rare | Rare-state,rare_state_support,0.5,0.9634285714,0.03081360833,0.9085714286,0.980952381,0.9268571429,0.8171428571,0.9619047619,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,rare_population,Rare,truth_local_retention,Local,Rare | Local,truth_geometry,0.3,0.1618518519,0.008805794093,0.1534259259,0.1736111111,-0.4604938272,-0.4885802469,-0.4212962963,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,rare_population,Rare,truth_trustworthiness,Trust,Rare | Trust,truth_geometry,0.9,0.911972023,0.004025070876,0.9078508422,0.9166755672,0.01330224773,0.008723158038,0.01852840805,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,batch_shift,Batch,batch_entropy_norm,Batch mix,Batch | Batch mix,batch_biology_tradeoff,0.65,0.001906309496,0.0009815577029,0.0004907768542,0.00315280529,-0.9970672162,-0.9992449587,-0.9951495303,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,batch_shift,Batch,label_neighbor_recall,Same-label,Batch | Same-label,cell_state_support,0.55,0.9902962963,0.001480613171,0.987962963,0.9917592593,0.8005387205,0.7962962963,0.8031986532,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,batch_shift,Batch,latent_distance_corr,Geometry,Batch | Geometry,truth_geometry,0.45,0.7175582219,0.05885309389,0.6149000507,0.7628601887,0.5945738264,0.3664445571,0.6952448637,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,batch_shift,Batch,truth_local_retention,Local,Batch | Local,truth_geometry,0.3,0.07777777778,0.004863094833,0.07185185185,0.0837962963,-0.7407407407,-0.7604938272,-0.7206790123,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,batch_shift,Batch,truth_trustworthiness,Trust,Batch | Trust,truth_geometry,0.9,0.8615531112,0.003369639041,0.8571247144,0.8659675062,-0.04271876531,-0.04763920624,-0.03781388195,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,branching_trajectory,Branch,label_neighbor_recall,Same-label,Branch | Same-label,cell_state_support,0.55,0.7751111111,0.02359234912,0.7478703704,0.8025925926,0.4092929293,0.3597643098,0.4592592593,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,branching_trajectory,Branch,latent_distance_corr,Geometry,Branch | Geometry,truth_geometry,0.45,0.7418727218,0.03142802608,0.6948159428,0.7739774687,0.6486060484,0.5440354285,0.7199499305,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,branching_trajectory,Branch,pseudotime_distance_corr,Pseudotime,Branch | Pseudotime,continuum_support,0.45,0.4541902699,0.07767763083,0.3815337293,0.5868265246,0.00931171082,-0.1521472681,0.3040589434,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,branching_trajectory,Branch,truth_local_retention,Local,Branch | Local,truth_geometry,0.3,0.1147222222,0.005560183258,0.1100925926,0.1233333333,-0.6175925926,-0.6330246914,-0.5888888889,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,branching_trajectory,Branch,truth_trustworthiness,Trust,Branch | Trust,truth_geometry,0.9,0.8375027632,0.006436931076,0.8282999894,0.8459295127,-0.06944137426,-0.07966667848,-0.06007831919,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,dropout_stress,Dropout,label_neighbor_recall,Same-label,Dropout | Same-label,cell_state_support,0.55,0.9909259259,0.001362401756,0.9894444444,0.9925925926,0.8016835017,0.798989899,0.8047138047,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,dropout_stress,Dropout,latent_distance_corr,Geometry,Dropout | Geometry,truth_geometry,0.45,0.8658414503,0.01249507655,0.845565783,0.8787018648,0.9240921118,0.8790350734,0.9526708106,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,dropout_stress,Dropout,truth_local_retention,Local,Dropout | Local,truth_geometry,0.3,0.09018518519,0.004269311809,0.08462962963,0.0962962963,-0.699382716,-0.7179012346,-0.6790123457,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,dropout_stress,Dropout,truth_trustworthiness,Trust,Dropout | Trust,truth_geometry,0.9,0.8718835751,0.001344395035,0.8696632393,0.8733272225,-0.0312404721,-0.03370751191,-0.02963641946,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,linear_low_rank,Linear,label_neighbor_recall,Same-label,Linear | Same-label,cell_state_support,0.55,0.9960740741,0.002341146531,0.9930555556,0.9980555556,0.811043771,0.8055555556,0.8146464646,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,linear_low_rank,Linear,latent_distance_corr,Geometry,Linear | Geometry,truth_geometry,0.45,0.8658584737,0.01073008137,0.8478468502,0.8758980178,0.9241299416,0.8841041116,0.9464400396,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,linear_low_rank,Linear,truth_local_retention,Local,Linear | Local,truth_geometry,0.3,0.09201851852,0.00538647012,0.08462962963,0.09787037037,-0.6932716049,-0.7179012346,-0.6737654321,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,linear_low_rank,Linear,truth_trustworthiness,Trust,Linear | Trust,truth_geometry,0.9,0.8727965886,0.003276018624,0.8679470216,0.8760032414,-0.03022601272,-0.03561442041,-0.02666306511,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PHATE,graph,nonlinear_manifold,Nonlinear,label_neighbor_recall,Same-label,Nonlinear | Same-label,cell_state_support,0.55,0.9011481481,0.02410366771,0.8609259259,0.9242592593,0.6384511785,0.5653198653,0.6804713805,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
