dataset_id,method,family,metric,mean_value,sd_across_seeds,min_value,max_value,value_range,pass_fraction,n_seeds,n_definition
pbmc3k,PCA,factor,local_retention,0.0550922416,0,0.0550922416,0.0550922416,0,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PCA,factor,trustworthiness,0.8058160986,0,0.8058160986,0.8058160986,0,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PHATE,graph,global_rank_corr,0.5511048664,0.005589421479,0.546177257,0.5584719291,0.01229467211,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PHATE,graph,label_neighbor_recall,0.9241950973,0.005039674216,0.9152893606,0.9274703058,0.01218094516,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PHATE,graph,local_retention,0.09008845085,0.002302317142,0.08645438463,0.09279757392,0.006343189285,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PHATE,graph,trustworthiness,0.8331948852,0.001496349473,0.8318827878,0.8350923189,0.00320953114,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PaCMAP,relational,global_rank_corr,0.646195832,0.008551149909,0.631109789,0.6513049781,0.0201951891,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PaCMAP,relational,label_neighbor_recall,0.9171392469,0.001319631363,0.9155926207,0.9192317412,0.003639120546,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PaCMAP,relational,local_retention,0.1124690422,0.001706408613,0.1100328532,0.1140005054,0.003967652262,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PaCMAP,relational,trustworthiness,0.8637987621,0.0003947885786,0.8633517966,0.8644392323,0.001087435631,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,SAUCIE,deep,global_rank_corr,0.6216770145,0.01073506122,0.614364198,0.6397636671,0.0253994691,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,SAUCIE,deep,label_neighbor_recall,0.9108415466,0.001588601407,0.9087945413,0.9129390953,0.004144553955,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,SAUCIE,deep,local_retention,0.07452110184,0.0005637905214,0.07371746272,0.07508213293,0.001364670205,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,SAUCIE,deep,trustworthiness,0.8415258039,0.0004647509446,0.8407821654,0.8420678218,0.00128565637,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,UMAP,graph,global_rank_corr,0.548088794,0.01972891933,0.5246826843,0.5773203946,0.05263771029,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,UMAP,graph,label_neighbor_recall,0.9223098307,0.001301601434,0.9208996715,0.9244377053,0.003538033864,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,UMAP,graph,local_retention,0.1191104372,0.0005427234651,0.1183472328,0.1195855446,0.001238311852,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,UMAP,graph,trustworthiness,0.8566129177,0.0005218028253,0.8560146527,0.8572732689,0.001258616166,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,scScope,deep,global_rank_corr,0.2716198004,0.01866231307,0.2499515274,0.2943306652,0.04437913782,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,scScope,deep,label_neighbor_recall,0.7108819813,0.006344613803,0.7026029821,0.7181450594,0.01554207733,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,scScope,deep,local_retention,0.03482436189,0.001017008133,0.03358605004,0.03629011878,0.002704068739,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,scScope,deep,trustworthiness,0.7527979566,0.003289565306,0.7482426911,0.7565104414,0.008267750208,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,t-SNE,relational,global_rank_corr,0.5875265287,0,0.5875265287,0.5875265287,0,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,t-SNE,relational,label_neighbor_recall,0.9145564822,0,0.9145564822,0.9145564822,0,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,t-SNE,relational,local_retention,0.2161233258,0,0.2161233258,0.2161233258,0,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,t-SNE,relational,trustworthiness,0.8904914833,0,0.8904914833,0.8904914833,0,0,5,five computational random-seed runs for one method-dataset-metric combination
