dataset_id,method,family,claim_context,metric,value,threshold,support,support_definition
paul15,PaCMAP,relational,cross_context_embedding_support,trustworthiness,0.9181019497680007,0.9,pass,"diagnostic threshold support, not a universal method ranking"
paul15,PaCMAP,relational,cross_context_embedding_support,global_rank_corr,0.6832359127410156,0.45,pass,"diagnostic threshold support, not a universal method ranking"
paul15,PaCMAP,relational,cross_context_embedding_support,label_neighbor_recall,0.5375824175824175,0.55,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,PaCMAP,relational,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
paul15,SAUCIE,deep,cross_context_embedding_support,local_retention,0.1043956043956044,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,SAUCIE,deep,cross_context_embedding_support,trustworthiness,0.8692665557977712,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,SAUCIE,deep,cross_context_embedding_support,global_rank_corr,0.5713198126401976,0.45,pass,"diagnostic threshold support, not a universal method ranking"
paul15,SAUCIE,deep,cross_context_embedding_support,label_neighbor_recall,0.5040537240537241,0.55,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,SAUCIE,deep,cross_context_embedding_support,all_four_metrics,1.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
paul15,UMAP,graph,cross_context_embedding_support,local_retention,0.19150183150183148,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,UMAP,graph,cross_context_embedding_support,trustworthiness,0.9108641504208552,0.9,pass,"diagnostic threshold support, not a universal method ranking"
paul15,UMAP,graph,cross_context_embedding_support,global_rank_corr,0.6380401249714217,0.45,pass,"diagnostic threshold support, not a universal method ranking"
paul15,UMAP,graph,cross_context_embedding_support,label_neighbor_recall,0.5073015873015874,0.55,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,UMAP,graph,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
paul15,scScope,deep,cross_context_embedding_support,local_retention,0.07538461538461538,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,scScope,deep,cross_context_embedding_support,trustworthiness,0.860541913449191,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,scScope,deep,cross_context_embedding_support,global_rank_corr,0.5447585904200115,0.45,pass,"diagnostic threshold support, not a universal method ranking"
paul15,scScope,deep,cross_context_embedding_support,label_neighbor_recall,0.6096459096459097,0.55,pass,"diagnostic threshold support, not a universal method ranking"
paul15,scScope,deep,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
paul15,t-SNE,relational,cross_context_embedding_support,local_retention,0.30637362637362636,0.3,pass,"diagnostic threshold support, not a universal method ranking"
paul15,t-SNE,relational,cross_context_embedding_support,trustworthiness,0.9395209002301725,0.9,pass,"diagnostic threshold support, not a universal method ranking"
paul15,t-SNE,relational,cross_context_embedding_support,global_rank_corr,0.6216594588886569,0.45,pass,"diagnostic threshold support, not a universal method ranking"
paul15,t-SNE,relational,cross_context_embedding_support,label_neighbor_recall,0.5228327228327228,0.55,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,t-SNE,relational,cross_context_embedding_support,all_four_metrics,3.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
pbmc3k,GLM-PCA,factor,cross_context_embedding_support,local_retention,0.0435430881981299,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,GLM-PCA,factor,cross_context_embedding_support,trustworthiness,0.7989934047221783,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,GLM-PCA,factor,cross_context_embedding_support,global_rank_corr,0.5306042453675148,0.45,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,GLM-PCA,factor,cross_context_embedding_support,label_neighbor_recall,0.86330553449583,0.55,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,GLM-PCA,factor,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
pbmc3k,PCA,factor,cross_context_embedding_support,local_retention,0.055092241597169564,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PCA,factor,cross_context_embedding_support,trustworthiness,0.805816098585608,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PCA,factor,cross_context_embedding_support,global_rank_corr,0.6516416813420612,0.45,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PCA,factor,cross_context_embedding_support,label_neighbor_recall,0.793631539044731,0.55,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PCA,factor,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
pbmc3k,PHATE,graph,cross_context_embedding_support,local_retention,0.09004296183977761,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PHATE,graph,cross_context_embedding_support,trustworthiness,0.832479518108384,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PHATE,graph,cross_context_embedding_support,global_rank_corr,0.5462702857899164,0.45,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PHATE,graph,cross_context_embedding_support,label_neighbor_recall,0.9274703057872127,0.55,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PHATE,graph,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
pbmc3k,PaCMAP,relational,cross_context_embedding_support,local_retention,0.11364670204700529,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PaCMAP,relational,cross_context_embedding_support,trustworthiness,0.8644392322630805,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PaCMAP,relational,cross_context_embedding_support,global_rank_corr,0.631109788993298,0.45,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PaCMAP,relational,cross_context_embedding_support,label_neighbor_recall,0.9170836492292141,0.55,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,PaCMAP,relational,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
pbmc3k,SAUCIE,deep,cross_context_embedding_support,local_retention,0.07495577457669951,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,SAUCIE,deep,cross_context_embedding_support,trustworthiness,0.8415744685580313,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,SAUCIE,deep,cross_context_embedding_support,global_rank_corr,0.63976366710409,0.45,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,SAUCIE,deep,cross_context_embedding_support,label_neighbor_recall,0.9106899166034875,0.55,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,SAUCIE,deep,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
pbmc3k,UMAP,graph,cross_context_embedding_support,local_retention,0.1183472327520849,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,UMAP,graph,cross_context_embedding_support,trustworthiness,0.8570027605555128,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,UMAP,graph,cross_context_embedding_support,global_rank_corr,0.5246826842812312,0.45,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,UMAP,graph,cross_context_embedding_support,label_neighbor_recall,0.9218347232752085,0.55,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,UMAP,graph,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
pbmc3k,scScope,deep,cross_context_embedding_support,local_retention,0.03629011877685115,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,scScope,deep,cross_context_embedding_support,trustworthiness,0.7554079780199284,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,scScope,deep,cross_context_embedding_support,global_rank_corr,0.2640604414801297,0.45,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,scScope,deep,cross_context_embedding_support,label_neighbor_recall,0.7161991407632045,0.55,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,scScope,deep,cross_context_embedding_support,all_four_metrics,1.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
pbmc3k,t-SNE,relational,cross_context_embedding_support,local_retention,0.21612332575183218,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,t-SNE,relational,cross_context_embedding_support,trustworthiness,0.8904914832537735,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
pbmc3k,t-SNE,relational,cross_context_embedding_support,global_rank_corr,0.5875265286641682,0.45,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,t-SNE,relational,cross_context_embedding_support,label_neighbor_recall,0.9145564821834725,0.55,pass,"diagnostic threshold support, not a universal method ranking"
pbmc3k,t-SNE,relational,cross_context_embedding_support,all_four_metrics,2.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
