dataset_id,method,family,claim_gate,support,components,source_data,support_definition
pbmc3k,t-SNE,relational,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.
heart_cell_atlas_subsampled,GLM-PCA,factor,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
heart_cell_atlas_subsampled,PCA,factor,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
heart_cell_atlas_subsampled,PHATE,graph,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
heart_cell_atlas_subsampled,PaCMAP,relational,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
heart_cell_atlas_subsampled,SAUCIE,deep,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
heart_cell_atlas_subsampled,UMAP,graph,global_geometry_gate,below_threshold,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
heart_cell_atlas_subsampled,scScope,deep,global_geometry_gate,below_threshold,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
heart_cell_atlas_subsampled,t-SNE,relational,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
paul15,GLM-PCA,factor,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
paul15,PCA,factor,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
paul15,PHATE,graph,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
paul15,PaCMAP,relational,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
paul15,SAUCIE,deep,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
paul15,UMAP,graph,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
paul15,scScope,deep,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
paul15,t-SNE,relational,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
pbmc3k,GLM-PCA,factor,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
pbmc3k,PCA,factor,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
pbmc3k,PHATE,graph,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
pbmc3k,PaCMAP,relational,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
pbmc3k,SAUCIE,deep,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
pbmc3k,UMAP,graph,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
pbmc3k,scScope,deep,global_geometry_gate,below_threshold,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
pbmc3k,t-SNE,relational,global_geometry_gate,pass,global_rank_corr,fig4_global_gate_metrics.csv,Global rank correlation passes the Fig4 diagnostic threshold.
