dataset_id,method,family,seed,label,n_cells_label,label_knn_recall,k,score_definition,rare_label_n_cells,rare_label_fraction,rare_definition
heart_cell_atlas_subsampled,PHATE,graph,0,Adipocytes,145,0.9232183908045978,15,fraction of same-label cells among embedding neighbours for cells in the target label,145,0.0077785526527546,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,PHATE,graph,0,Mesothelial,17,0.9176470588235295,15,fraction of same-label cells among embedding neighbours for cells in the target label,17,0.0009119682420471,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,PHATE,graph,0,Neuronal,153,0.8444444444444443,15,fraction of same-label cells among embedding neighbours for cells in the target label,153,0.0082077141784239,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,t-SNE,relational,0,Adipocytes,145,0.9457471264367816,15,fraction of same-label cells among embedding neighbours for cells in the target label,145,0.0077785526527546,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,t-SNE,relational,0,Mesothelial,17,0.9882352941176471,15,fraction of same-label cells among embedding neighbours for cells in the target label,17,0.0009119682420471,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,t-SNE,relational,0,Neuronal,153,0.914161220043573,15,fraction of same-label cells among embedding neighbours for cells in the target label,153,0.0082077141784239,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,PaCMAP,relational,0,Adipocytes,145,0.9241379310344827,15,fraction of same-label cells among embedding neighbours for cells in the target label,145,0.0077785526527546,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,PaCMAP,relational,0,Mesothelial,17,0.9450980392156862,15,fraction of same-label cells among embedding neighbours for cells in the target label,17,0.0009119682420471,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,PaCMAP,relational,0,Neuronal,153,0.8627450980392157,15,fraction of same-label cells among embedding neighbours for cells in the target label,153,0.0082077141784239,label with <= 200 cells in the locked dataset


